accession	year	serotype	country
NC_001474.2	1964	2	Thailand   
JQ822247.1	2010	4	China
KU513442.1	2013	4	Brazil
MH382789.1	2016	4	Australia
MT754369.1	2019	2	China
MT754372.1	2019	2	China
MW512424.1	2014	2	Singapore
MW512460.1	2016	2	Singapore  
MW730829.1	2017	2	Nepal
MW730839.1	2017	2	Nepal
MW789007.1	2018	4	Myanmar
MW793684.1	2019	1	Myanmar
MW793685.1	2018	1	Myanmar
MW793689.1	2018	1	Myanmar
MW793695.1	2018	1	Myanmar
MW793702.1	2018	1	Myanmar
MW793704.1	2018	1	Myanmar
MW793710.1	2019	1	Myanmar
ON045730.1	2004	4	Thailand
OP310805.1	2019	2	India
OP310807.1	2019	2	India
OP600495.1	2020	4	Malaysia
OP895918.1	2019	2	Cambodia
OP895919.1	2018	2	Malaysia
OP921000.1	2022	2	India
OP941834.1	2022	2	Brazil
OP984834.1	2022	2	Vietnam
MN253132.2	2018	3	India
OQ103317.1	2022	3	Sri Lanka
OP921002.1	2022	3	India
MW788911.1	2018	3	Myanmar
MW788893.1	2019	3	Myanmar
OK040060.1	2011	1	Somalia
OK040059.1	2016	1	Kenya
MZ857222.1	2007	2	Djibouti
MZ857221.1	2017	2	Uganda
MZ857220.1	2017	2	Burkina Faso
MZ857212.1	2014	2	Tanzania
MZ857205.1	2013	1	Angola
MZ857204.1	2011	3	Kenya
MZ857203.1	2010	1	Gambia
MZ857211.1	2014	2	Mozambique
MZ857216.1	2015	1	Eritrea
MZ857219.1	1996	2	Somalia
MZ857213.1	2014	2	Tanzania
MZ857218.1	2017	2	Eritrea
ERR3790222/ARTIC/medaka	2019	2	Indonesia
